human_gene_id	mouse_gene_id	homology_type	homology_species	is_high_confidence	saluki_human_pc1	saluki_mouse_prior
ENSG00000003249	ENSMUSG00000031970	ortholog_one2one	homo_sapiens	1	2.27081641461756	-1.96979448444871
ENSG00000003393	ENSMUSG00000026024	ortholog_one2one	homo_sapiens	1	-2.44624684216545	-1.25918335723542
ENSG00000003402	ENSMUSG00000026031	ortholog_one2one	homo_sapiens	1	-1.35042008587338	-4.52178664139993
ENSG00000003436	ENSMUSG00000027082	ortholog_one2one	homo_sapiens	1	4.11902420968433	7.50202908586722
ENSG00000003509	ENSMUSG00000024082	ortholog_one2one	homo_sapiens	1	-0.0553982663916717	1.31329224708374
ENSG00000003756	ENSMUSG00000032580	ortholog_one2one	homo_sapiens	1	-5.96029593233879	-5.55335834030107
ENSG00000003987	ENSMUSG00000039431	ortholog_one2one	homo_sapiens	1	0.317053510855052	-1.47974868074805
ENSG00000003989	ENSMUSG00000031596	ortholog_one2one	homo_sapiens	1	-0.105250892514826	-0.622697490796286
ENSG00000004059	ENSMUSG00000020440	ortholog_one2one	homo_sapiens	1	9.2102930868234	4.97934548485331
ENSG00000004139	ENSMUSG00000050132	ortholog_one2one	homo_sapiens	1	1.28570046411493	4.06012146378701
ENSG00000004142	ENSMUSG00000001100	ortholog_one2one	homo_sapiens	1	5.43083272937609	1.67379029694199
ENSG00000004399	ENSMUSG00000030123	ortholog_one2one	homo_sapiens	1	4.83700582102289	0.547325618157965
ENSG00000004455	ENSMUSG00000028792	ortholog_one2one	homo_sapiens	1	6.46224333472263	2.21056113381741
ENSG00000004468	ENSMUSG00000029084	ortholog_one2one	homo_sapiens	1	7.57067963502686	-3.35053644348176
ENSG00000004478	ENSMUSG00000030357	ortholog_one2one	homo_sapiens	1	5.55929602632673	4.24727645100555
ENSG00000004487	ENSMUSG00000036940	ortholog_one2one	homo_sapiens	1	2.95307661007945	0.878963207303493
ENSG00000004534	ENSMUSG00000032582	ortholog_one2one	homo_sapiens	1	2.08122537805362	-1.47432165183702
ENSG00000004660	ENSMUSG00000020785	ortholog_one2one	homo_sapiens	1	-3.7337422084136	-0.103845357371572
ENSG00000004700	ENSMUSG00000030243	ortholog_one2one	homo_sapiens	1	4.02625485757774	1.57167200816769
ENSG00000004766	ENSMUSG00000001376	ortholog_one2one	homo_sapiens	1	-0.477045105899645	1.64150978129461
ENSG00000004777	ENSMUSG00000036882	ortholog_one2one	homo_sapiens	1	4.73866265411431	2.69320906426604
ENSG00000004779	ENSMUSG00000030869	ortholog_one2one	homo_sapiens	1	6.80716829596947	4.05944327446291
ENSG00000004799	ENSMUSG00000019577	ortholog_one2one	homo_sapiens	1	-8.32530021846802	-8.86890097570051
ENSG00000004838	ENSMUSG00000010044	ortholog_one2one	homo_sapiens	1	2.03998401568773	2.55364269928427
ENSG00000004864	ENSMUSG00000015112	ortholog_one2one	homo_sapiens	1	2.90342312740418	-0.658224760213527
ENSG00000004866	ENSMUSG00000029534	ortholog_one2one	homo_sapiens	1	-0.181877523772557	0.219492909931238
ENSG00000004897	ENSMUSG00000020687	ortholog_one2one	homo_sapiens	1	-1.45445076540177	-2.51509960093231
ENSG00000004961	ENSMUSG00000031352	ortholog_one2one	homo_sapiens	1	-0.882917324434317	-0.628036598638287
ENSG00000004975	ENSMUSG00000020888	ortholog_one2one	homo_sapiens	1	1.60244378922105	-2.72067323033158
ENSG00000005001	ENSMUSG00000045027	ortholog_one2one	homo_sapiens	1	-1.96018621479427	1.40453114979804
ENSG00000005007	ENSMUSG00000058301	ortholog_one2one	homo_sapiens	1	0.169319981340859	0.666529323854059
ENSG00000005020	ENSMUSG00000059182	ortholog_one2one	homo_sapiens	1	6.09354966779937	4.27902786126465
ENSG00000005022	ENSMUSG00000016319	ortholog_one2one	homo_sapiens	1	7.50214231005304	4.07684007654827
ENSG00000005059	ENSMUSG00000027994	ortholog_one2one	homo_sapiens	1	5.70109052423197	2.38991408256858
ENSG00000005100	ENSMUSG00000040620	ortholog_one2one	homo_sapiens	1	-1.67694337774853	-4.33665165927602
ENSG00000005156	ENSMUSG00000020697	ortholog_one2one	homo_sapiens	1	1.60470191862929	-1.60136210761047
ENSG00000005175	ENSMUSG00000022466	ortholog_one2one	homo_sapiens	1	1.58031090388531	0.893202452644178
ENSG00000005194	ENSMUSG00000031781	ortholog_one2one	homo_sapiens	1	3.295739654746	2.12262893163338
ENSG00000005206	ENSMUSG00000035206	ortholog_one2one	homo_sapiens	1	6.03364596808781	0.139472903227602
ENSG00000005238	ENSMUSG00000036002	ortholog_one2one	homo_sapiens	1	-6.58419178611749	-0.667558885452865
ENSG00000005243	ENSMUSG00000018672	ortholog_one2one	homo_sapiens	1	12.365983968746	6.47121166693391
ENSG00000005249	ENSMUSG00000002997	ortholog_one2one	homo_sapiens	1	5.77563701049068	1.78694662575698
ENSG00000005302	ENSMUSG00000031358	ortholog_one2one	homo_sapiens	1	3.70484244964994	1.82747340538208
ENSG00000005339	ENSMUSG00000022521	ortholog_one2one	homo_sapiens	1	-5.77832462319572	-4.28217213501483
ENSG00000005436	ENSMUSG00000035125	ortholog_one2one	homo_sapiens	1	1.25763793567173	-4.5953979851219
ENSG00000005448	ENSMUSG00000030032	ortholog_one2one	homo_sapiens	1	8.06094995539578	0.37940110778477
ENSG00000005469	ENSMUSG00000003623	ortholog_one2one	homo_sapiens	1	1.44265951661117	1.47824162905417
ENSG00000005471	ENSMUSG00000042476	ortholog_one2one	homo_sapiens	1	2.712473927064	3.70014490564072
ENSG00000005483	ENSMUSG00000029004	ortholog_one2one	homo_sapiens	1	-6.61891499336828	-5.06459700925892
ENSG00000005486	ENSMUSG00000039917	ortholog_one2one	homo_sapiens	1	5.07253432341684	2.52661205415849
ENSG00000005513	ENSMUSG00000024176	ortholog_one2one	homo_sapiens	1	-5.48533485392922	-4.58079315649896
ENSG00000005700	ENSMUSG00000035941	ortholog_one2one	homo_sapiens	1	-0.880790173411205	-4.02705226333417
ENSG00000005810	ENSMUSG00000033004	ortholog_one2one	homo_sapiens	1	-2.24868749820589	-0.935481304662793
ENSG00000005812	ENSMUSG00000022124	ortholog_one2one	homo_sapiens	1	-6.54309106995372	-4.46588638909848
ENSG00000005844	ENSMUSG00000030830	ortholog_one2one	homo_sapiens	1	2.83337452566376	4.06718812196797
ENSG00000005882	ENSMUSG00000038967	ortholog_one2one	homo_sapiens	1	6.03768364377727	4.20330525142654
ENSG00000005884	ENSMUSG00000001507	ortholog_one2one	homo_sapiens	1	3.82389125123848	2.21122402754306
ENSG00000005889	ENSMUSG00000079509	ortholog_one2one	homo_sapiens	1	-8.58006336437946	-7.92398595730944
ENSG00000005893	ENSMUSG00000016534	ortholog_one2one	homo_sapiens	1	8.0662418983343	4.96053995525423
ENSG00000005961	ENSMUSG00000034664	ortholog_one2one	homo_sapiens	1	6.26302797651854	3.17725741302751
ENSG00000006007	ENSMUSG00000033917	ortholog_one2one	homo_sapiens	1	3.95941490303511	2.74919675162255
ENSG00000006016	ENSMUSG00000007888	ortholog_one2one	homo_sapiens	1	5.4585356762377	0.418316648467403
ENSG00000006025	ENSMUSG00000038534	ortholog_one2one	homo_sapiens	1	0.528917984120597	-3.2876110591645
ENSG00000006042	ENSMUSG00000035413	ortholog_one2one	homo_sapiens	1	8.04530404502336	5.37843618347007
ENSG00000006047	ENSMUSG00000018554	ortholog_one2one	homo_sapiens	1	8.14619214072504	10.469914584536
ENSG00000006062	ENSMUSG00000020941	ortholog_one2one	homo_sapiens	1	-10.5503637155955	-8.03844418690515
ENSG00000006071	ENSMUSG00000040136	ortholog_one2one	homo_sapiens	1	3.06880193469593	3.69873883607767
ENSG00000006118	ENSMUSG00000024736	ortholog_one2one	homo_sapiens	1	7.3625506913278	1.61406033619529
ENSG00000006125	ENSMUSG00000035152	ortholog_one2one	homo_sapiens	1	7.60306973101186	5.05161978206953
ENSG00000006194	ENSMUSG00000022529	ortholog_one2one	homo_sapiens	1	-7.50311201340108	-6.62015121603788
ENSG00000006210	ENSMUSG00000031778	ortholog_one2one	homo_sapiens	1	-10.5421673222508	-0.208153692178268
ENSG00000006282	ENSMUSG00000020867	ortholog_one2one	homo_sapiens	1	8.42758048462074	2.98952186747596
ENSG00000006283	ENSMUSG00000020866	ortholog_one2one	homo_sapiens	1	1.86867545462192	5.3251767269901
ENSG00000006327	ENSMUSG00000023905	ortholog_one2one	homo_sapiens	1	-5.65254905523179	-4.87938619195924
ENSG00000006377	ENSMUSG00000029754	ortholog_one2one	homo_sapiens	1	-7.4649034391066	5.33126209493008
ENSG00000006432	ENSMUSG00000042724	ortholog_one2one	homo_sapiens	1	-7.31994319696874	-2.06064081801827
ENSG00000006451	ENSMUSG00000008859	ortholog_one2one	homo_sapiens	1	0.311430236098021	2.74152193022874
ENSG00000006453	ENSMUSG00000038859	ortholog_one2one	homo_sapiens	1	0.933827638451909	-1.25795448525692
ENSG00000006459	ENSMUSG00000042599	ortholog_one2one	homo_sapiens	1	-5.22380960876853	1.89959722426138
ENSG00000006468	ENSMUSG00000004151	ortholog_one2one	homo_sapiens	1	-1.37030876481751	-1.51878568976252
ENSG00000006530	ENSMUSG00000029916	ortholog_one2one	homo_sapiens	1	3.26342878347312	-0.92945222298747
ENSG00000006534	ENSMUSG00000024885	ortholog_one2one	homo_sapiens	1	5.35469301445297	3.82783443369204
ENSG00000006576	ENSMUSG00000039987	ortholog_one2one	homo_sapiens	1	1.87367027007201	-0.367898534179837
ENSG00000006607	ENSMUSG00000034066	ortholog_one2one	homo_sapiens	1	-1.01355047937698	0.313194709619154
ENSG00000006625	ENSMUSG00000002797	ortholog_one2one	homo_sapiens	1	6.44128679545169	0.312806718897202
ENSG00000006634	ENSMUSG00000002297	ortholog_one2one	homo_sapiens	1	-5.79215089198425	-3.84260822087855
ENSG00000006638	ENSMUSG00000034881	ortholog_one2one	homo_sapiens	1	-1.74475888575376	0.19120029956458
ENSG00000006652	ENSMUSG00000001627	ortholog_one2one	homo_sapiens	1	-5.36212502375278	-7.94231108328608
ENSG00000006695	ENSMUSG00000042148	ortholog_one2one	homo_sapiens	1	-3.83171977674625	-2.82784926464637
ENSG00000006704	ENSMUSG00000023079	ortholog_one2one	homo_sapiens	1	-3.60512837765667	-2.42861827625979
ENSG00000006712	ENSMUSG00000003437	ortholog_one2one	homo_sapiens	1	-0.872357909166665	-0.86129029184722
ENSG00000006715	ENSMUSG00000041236	ortholog_one2one	homo_sapiens	1	5.87208525794691	5.69443162567784
ENSG00000006740	ENSMUSG00000033389	ortholog_one2one	homo_sapiens	1	0.260413748185902	0.99163315530114
ENSG00000006744	ENSMUSG00000020549	ortholog_one2one	homo_sapiens	1	3.56101599627562	0.731994531899084
ENSG00000006747	ENSMUSG00000002565	ortholog_one2one	homo_sapiens	1	5.32179535989706	1.05233660583007
ENSG00000006831	ENSMUSG00000030168	ortholog_one2one	homo_sapiens	1	-1.64940974958543	-1.34967668688612
ENSG00000006837	ENSMUSG00000020389	ortholog_one2one	homo_sapiens	1	-0.647467707941012	5.81362767783355
ENSG00000007047	ENSMUSG00000030397	ortholog_one2one	homo_sapiens	1	0.133116607170814	-3.51561604729917
ENSG00000007062	ENSMUSG00000029086	ortholog_one2one	homo_sapiens	1	2.80330006968637	3.23119860254145
ENSG00000007080	ENSMUSG00000007721	ortholog_one2one	homo_sapiens	1	10.4926030408894	5.24109781899193
ENSG00000007168	ENSMUSG00000020745	ortholog_one2one	homo_sapiens	1	-1.59179810510737	-2.9921781931255
ENSG00000007171	ENSMUSG00000020826	ortholog_one2one	homo_sapiens	1	-2.24557042205222	15.2484106813168
ENSG00000007202	ENSMUSG00000010277	ortholog_one2one	homo_sapiens	1	4.95012436738774	4.66637513107671
ENSG00000007237	ENSMUSG00000033066	ortholog_one2one	homo_sapiens	1	-0.0677507392128871	2.18752582549308
ENSG00000007255	ENSMUSG00000002043	ortholog_one2one	homo_sapiens	1	12.0998140500872	7.27989708960979
ENSG00000007264	ENSMUSG00000004933	ortholog_one2one	homo_sapiens	1	6.09412888296704	2.74176094368278
ENSG00000007312	ENSMUSG00000040592	ortholog_one2one	homo_sapiens	1	0.362585987303636	-1.56716076504285
ENSG00000007341	ENSMUSG00000045576	ortholog_one2one	homo_sapiens	1	0.74127942882469	-3.60600326532802
ENSG00000007372	ENSMUSG00000027168	ortholog_one2one	homo_sapiens	1	-6.06991719808192	-4.89407356863762
ENSG00000007376	ENSMUSG00000041199	ortholog_one2one	homo_sapiens	1	-2.33404058019404	-3.19346918740571
ENSG00000007384	ENSMUSG00000020282	ortholog_one2one	homo_sapiens	1	3.80918910144754	-2.01385228690597
ENSG00000007392	ENSMUSG00000024188	ortholog_one2one	homo_sapiens	1	-1.73372104365146	-3.63180367549447
ENSG00000007402	ENSMUSG00000010066	ortholog_one2one	homo_sapiens	1	8.81046365532704	-0.947197283485717
ENSG00000007516	ENSMUSG00000047507	ortholog_one2one	homo_sapiens	1	4.66074699872686	-0.122018844423613
ENSG00000007520	ENSMUSG00000015126	ortholog_one2one	homo_sapiens	1	3.96149590331278	-1.94264499463715
ENSG00000007541	ENSMUSG00000025728	ortholog_one2one	homo_sapiens	1	5.79171777171621	2.62438544343297
ENSG00000007545	ENSMUSG00000038002	ortholog_one2one	homo_sapiens	1	-4.42114867585968	-7.81080662392226
ENSG00000007866	ENSMUSG00000002249	ortholog_one2one	homo_sapiens	1	-1.82004324063502	-2.67547020776597
ENSG00000007923	ENSMUSG00000039768	ortholog_one2one	homo_sapiens	1	1.96327249524726	0.436072987001945
ENSG00000007944	ENSMUSG00000038175	ortholog_one2one	homo_sapiens	1	-10.1060115154441	-5.06126747055643
ENSG00000007968	ENSMUSG00000018983	ortholog_one2one	homo_sapiens	1	-5.65865685491775	-4.52986240312413
ENSG00000008018	ENSMUSG00000014769	ortholog_one2one	homo_sapiens	1	5.86823995339375	3.88719601834456
ENSG00000008056	ENSMUSG00000037217	ortholog_one2one	homo_sapiens	1	2.48594863661823	5.00303117001034
ENSG00000008083	ENSMUSG00000038518	ortholog_one2one	homo_sapiens	1	-6.32445905778338	-5.08935692454873
ENSG00000008086	ENSMUSG00000031292	ortholog_one2one	homo_sapiens	1	-5.89751471577223	-1.80908548829194
ENSG00000008130	ENSMUSG00000029063	ortholog_one2one	homo_sapiens	1	2.8273420183539	4.29215745871495
ENSG00000008256	ENSMUSG00000018001	ortholog_one2one	homo_sapiens	1	-1.34562462303186	-3.64440389619399
ENSG00000008277	ENSMUSG00000040537	ortholog_one2one	homo_sapiens	1	1.00943589050737	0.797450566481787
ENSG00000008282	ENSMUSG00000020570	ortholog_one2one	homo_sapiens	1	3.32440248711642	1.53735446814238
ENSG00000008283	ENSMUSG00000019590	ortholog_one2one	homo_sapiens	1	2.28760965244469	5.39543525540741
ENSG00000008294	ENSMUSG00000020859	ortholog_one2one	homo_sapiens	1	1.34793246005679	0.806587068403172
ENSG00000008300	ENSMUSG00000023473	ortholog_one2one	homo_sapiens	1	-0.326846474179847	2.87723126314013
ENSG00000008311	ENSMUSG00000029695	ortholog_one2one	homo_sapiens	1	4.71897336666857	2.81805947081776
ENSG00000008323	ENSMUSG00000038167	ortholog_one2one	homo_sapiens	1	-3.25585511240301	-1.20967447690382
ENSG00000008324	ENSMUSG00000032526	ortholog_one2one	homo_sapiens	1	-4.46623612408858	-1.52368946985965
ENSG00000008382	ENSMUSG00000003199	ortholog_one2one	homo_sapiens	1	6.82906061184633	6.58004006410096
ENSG00000008394	ENSMUSG00000008540	ortholog_one2one	homo_sapiens	1	10.1846508586086	6.05059626189165
ENSG00000008405	ENSMUSG00000020038	ortholog_one2one	homo_sapiens	1	0.023344217543065	-1.47496809544694
ENSG00000008441	ENSMUSG00000001911	ortholog_one2one	homo_sapiens	1	0.612146078197139	1.79128616766103
ENSG00000008513	ENSMUSG00000013846	ortholog_one2one	homo_sapiens	1	-9.08016246150837	-1.89447354463186
ENSG00000008516	ENSMUSG00000023903	ortholog_one2one	homo_sapiens	1	2.54701934404211	1.38351117180918
ENSG00000008710	ENSMUSG00000032855	ortholog_one2one	homo_sapiens	1	1.77576426104163	-1.56285260761024
ENSG00000008735	ENSMUSG00000022619	ortholog_one2one	homo_sapiens	1	4.29055463961613	-1.88105852671266
ENSG00000008838	ENSMUSG00000017210	ortholog_one2one	homo_sapiens	1	5.06741389421132	2.73233450741534
ENSG00000008853	ENSMUSG00000022075	ortholog_one2one	homo_sapiens	1	-3.69037904617988	-2.55748549999728
ENSG00000008869	ENSMUSG00000039414	ortholog_one2one	homo_sapiens	1	-1.68084556652343	4.46688653458467
ENSG00000008952	ENSMUSG00000027706	ortholog_one2one	homo_sapiens	1	0.0951738413623683	0.065140586362994
ENSG00000008988	ENSMUSG00000028234	ortholog_one2one	homo_sapiens	1	10.8438539688772	6.54697739350232
ENSG00000009307	ENSMUSG00000068823	ortholog_one2one	homo_sapiens	1	7.90525014382546	2.23135999767065
ENSG00000009335	ENSMUSG00000039000	ortholog_one2one	homo_sapiens	1	-0.481515672658331	1.56047781526518
ENSG00000009413	ENSMUSG00000019841	ortholog_one2one	homo_sapiens	1	-5.80762669634604	-3.05712125496333
ENSG00000009709	ENSMUSG00000028736	ortholog_one2one	homo_sapiens	1	-1.7893641713107	-1.42293889556632
ENSG00000009780	ENSMUSG00000028878	ortholog_one2one	homo_sapiens	1	-1.629401128049	-2.40797868400742
ENSG00000009790	ENSMUSG00000037318	ortholog_one2one	homo_sapiens	1	-8.79985565136513	-0.48047869421198
ENSG00000009830	ENSMUSG00000034126	ortholog_one2one	homo_sapiens	1	3.88580798309009	1.39060179327429
ENSG00000009844	ENSMUSG00000019868	ortholog_one2one	homo_sapiens	1	2.08754669163092	0.603202489497141
ENSG00000009950	ENSMUSG00000005373	ortholog_one2one	homo_sapiens	1	3.86511676202963	0.698591278938959
ENSG00000009954	ENSMUSG00000002748	ortholog_one2one	homo_sapiens	1	-2.76397107108892	-2.31827195949654
ENSG00000010017	ENSMUSG00000038546	ortholog_one2one	homo_sapiens	1	-1.0212674293644	-3.37510574178463
ENSG00000010072	ENSMUSG00000031986	ortholog_one2one	homo_sapiens	1	-6.17783956017986	-6.69068816594011
ENSG00000010165	ENSMUSG00000026694	ortholog_one2one	homo_sapiens	1	-2.71257746238448	-2.94142113547853
ENSG00000010219	ENSMUSG00000030345	ortholog_one2one	homo_sapiens	1	3.8742822442026	-5.55280641733946
ENSG00000010244	ENSMUSG00000017421	ortholog_one2one	homo_sapiens	1	-0.661645688663577	-1.57672802687893
ENSG00000010256	ENSMUSG00000025651	ortholog_one2one	homo_sapiens	1	8.04496215304163	6.18145674085073
ENSG00000010270	ENSMUSG00000003062	ortholog_one2one	homo_sapiens	1	2.89306405900113	3.57778815461867
ENSG00000010278	ENSMUSG00000030342	ortholog_one2one	homo_sapiens	1	8.00167553065572	4.56656501979355
ENSG00000010292	ENSMUSG00000038252	ortholog_one2one	homo_sapiens	1	4.36397517243174	3.59663691371317
ENSG00000010295	ENSMUSG00000038271	ortholog_one2one	homo_sapiens	1	-0.70570203145927	-2.79772202265322
ENSG00000010310	ENSMUSG00000030406	ortholog_one2one	homo_sapiens	1	3.15530763594382	3.58121742531059
ENSG00000010318	ENSMUSG00000021902	ortholog_one2one	homo_sapiens	1	2.07399514014401	-0.810532865159595
ENSG00000010319	ENSMUSG00000021904	ortholog_one2one	homo_sapiens	1	0.0679665778582099	1.00495508465139
ENSG00000010322	ENSMUSG00000021910	ortholog_one2one	homo_sapiens	1	1.46671200507596	2.73311119458958
ENSG00000010361	ENSMUSG00000011658	ortholog_one2one	homo_sapiens	1	6.08960050090806	2.61161786444597
ENSG00000010404	ENSMUSG00000035847	ortholog_one2one	homo_sapiens	1	8.30532688552368	8.91348698956551
ENSG00000010626	ENSMUSG00000030125	ortholog_one2one	homo_sapiens	1	6.20442738027134	2.06785815355929
ENSG00000010704	ENSMUSG00000006611	ortholog_one2one	homo_sapiens	1	2.28553653444028	3.18209893928873
ENSG00000010803	ENSMUSG00000000085	ortholog_one2one	homo_sapiens	1	0.100568454890994	-3.61356716003447
ENSG00000010810	ENSMUSG00000019843	ortholog_one2one	homo_sapiens	1	-0.407333911888056	-0.305038652733323
ENSG00000010818	ENSMUSG00000015501	ortholog_one2one	homo_sapiens	1	-8.73528787267095	-6.59759994423513
ENSG00000011007	ENSMUSG00000028668	ortholog_one2one	homo_sapiens	1	-1.74362338518093	-2.94344130894214
ENSG00000011009	ENSMUSG00000028670	ortholog_one2one	homo_sapiens	1	4.21119490024554	0.871095252950319
ENSG00000011021	ENSMUSG00000029016	ortholog_one2one	homo_sapiens	1	-1.13083742576482	-1.24761442182968
ENSG00000011028	ENSMUSG00000020695	ortholog_one2one	homo_sapiens	1	5.19038641540055	3.85584333253735
ENSG00000011083	ENSMUSG00000052026	ortholog_one2one	homo_sapiens	1	4.10498960551207	3.23578874543701
ENSG00000011105	ENSMUSG00000030352	ortholog_one2one	homo_sapiens	1	2.84491205116066	0.791092583470052
ENSG00000011114	ENSMUSG00000041702	ortholog_one2one	homo_sapiens	1	-5.27146694782949	-2.56564950619522
ENSG00000011132	ENSMUSG00000004931	ortholog_one2one	homo_sapiens	1	-0.470616612054159	3.32099832055735
ENSG00000011143	ENSMUSG00000034121	ortholog_one2one	homo_sapiens	1	2.80541598535083	1.76689379588216
ENSG00000011198	ENSMUSG00000032540	ortholog_one2one	homo_sapiens	1	-2.64613077334994	1.59701090162777
ENSG00000011243	ENSMUSG00000002625	ortholog_one2one	homo_sapiens	1	1.19721562973919	1.59557062637615
ENSG00000011258	ENSMUSG00000059474	ortholog_one2one	homo_sapiens	1	-2.65432623953985	-3.99029624249568
ENSG00000011260	ENSMUSG00000054079	ortholog_one2one	homo_sapiens	1	-0.789537902127643	-2.33828612293062
ENSG00000011275	ENSMUSG00000045078	ortholog_one2one	homo_sapiens	1	-3.29202555958486	-3.98444102765613
ENSG00000011295	ENSMUSG00000042298	ortholog_one2one	homo_sapiens	1	3.00502050287127	-1.47082640532184
ENSG00000011304	ENSMUSG00000006498	ortholog_one2one	homo_sapiens	1	1.99197129742913	2.10527323448391
ENSG00000011332	ENSMUSG00000030584	ortholog_one2one	homo_sapiens	1	-1.78405090022023	0.162690138108201
ENSG00000011347	ENSMUSG00000024743	ortholog_one2one	homo_sapiens	1	3.50099888802455	0.796321383020599
ENSG00000011376	ENSMUSG00000035202	ortholog_one2one	homo_sapiens	1	1.20840509871863	3.56926306377048
ENSG00000011405	ENSMUSG00000030660	ortholog_one2one	homo_sapiens	1	-0.0536179129127476	-1.51006790417082
ENSG00000011422	ENSMUSG00000046223	ortholog_one2one	homo_sapiens	1	-1.57760776879689	-3.7399458033871
ENSG00000011426	ENSMUSG00000036777	ortholog_one2one	homo_sapiens	1	-0.314505056962463	0.0601635108338136
ENSG00000011451	ENSMUSG00000024050	ortholog_one2one	homo_sapiens	1	2.63629382375005	-2.57895528774181
ENSG00000011454	ENSMUSG00000035437	ortholog_one2one	homo_sapiens	1	-1.37709685545414	-3.22366810648631
ENSG00000011478	ENSMUSG00000030407	ortholog_one2one	homo_sapiens	1	4.24876128598905	3.28481097729334
ENSG00000011485	ENSMUSG00000003099	ortholog_one2one	homo_sapiens	1	5.41087957415072	2.23691968940173
ENSG00000011523	ENSMUSG00000044066	ortholog_one2one	homo_sapiens	1	-3.97654299187382	-3.7536429078168
ENSG00000011566	ENSMUSG00000024242	ortholog_one2one	homo_sapiens	1	-4.17902220694431	-4.65255542200847
ENSG00000011590	ENSMUSG00000006310	ortholog_one2one	homo_sapiens	1	-2.7401955072118	1.38978878022081
ENSG00000011600	ENSMUSG00000030579	ortholog_one2one	homo_sapiens	1	2.35705580384729	8.29564615257173
ENSG00000011638	ENSMUSG00000030917	ortholog_one2one	homo_sapiens	1	1.57520343952362	1.12594396408882
ENSG00000011677	ENSMUSG00000031343	ortholog_one2one	homo_sapiens	1	4.64377996081548	6.29951722930216
ENSG00000012048	ENSMUSG00000017146	ortholog_one2one	homo_sapiens	1	0.540119955056051	-3.29693257533609
ENSG00000012061	ENSMUSG00000003549	ortholog_one2one	homo_sapiens	1	5.19394688986909	2.22113611330825
ENSG00000012124	ENSMUSG00000030577	ortholog_one2one	homo_sapiens	1	1.74083881915176	-0.655755823754068
ENSG00000012171	ENSMUSG00000057969	ortholog_one2one	homo_sapiens	1	8.77989450761869	2.82102241901081
ENSG00000012174	ENSMUSG00000046873	ortholog_one2one	homo_sapiens	1	1.16694718340394	1.65104185414047
ENSG00000012232	ENSMUSG00000021978	ortholog_one2one	homo_sapiens	1	-2.56838093842451	-2.07011482876449
